web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,marque,prix,adresse,image_lien-src
"1716727126-41","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location véhicule + chauffeur","https://www.dakarvente.com/annonce-10997-location-vhicule-chauffeur.html","Location véhicule + chauffeur","30.000  FCFA","Castors","media/annonces/pics/50b558537b42d2d0b28e38ae40269c34.jpg"
"1716727153-42","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location minibus Toyota Hiace 14 places","https://www.dakarvente.com/annonce-11119-location-minibus-toyota-hiace-14-places.html","Location minibus Toyota Hiace 14 places","50.000  FCFA","Yoff","media/annonces/pics/e11e48509ffbfa57c5937e548e646004.jpg"
"1716727180-43","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","location de voitures","https://www.dakarvente.com/annonce-11781-location-de-voitures.html","location de voitures","1  FCFA","Point E","media/annonces/pics/16f99acb79687cd246852ada73ba4923.jpg"
"1716727206-44","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture avec chauffeur","https://www.dakarvente.com/annonce-11866-location-de-voiture-avec-chauffeur.html","Location de voiture avec chauffeur","20.000  FCFA","Almadies","media/annonces/pics/7fa5d02acf9352fdc3340a2cc5478fb2.jpg"
"1716727234-45","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location & vente de voiture","https://www.dakarvente.com/annonce-11923-location-vente-de-voiture.html","Location & vente de voiture","1  FCFA","Point E","media/annonces/pics/ab9bad02ee17f90c58479e4407eef6fc.jpg"
"1716727261-46","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Ventes et locations de véhicules","https://www.dakarvente.com/annonce-12274-ventes-et-locations-de-vhicules.html","Ventes et locations de véhicules","350.000  FCFA","Rufisque","media/annonces/pics/8834dcd95bb8e252ab1bbb11a0cd3287.jpeg"
"1716727288-47","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voitures","https://www.dakarvente.com/annonce-12327-location-de-voitures.html","Location de voitures","22.500  FCFA","Grand Yoff","media/annonces/pics/533ccdaaadb7b2f437c0453d4d136d90.jpeg"
"1716727316-48","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location et vente de voiture","https://www.dakarvente.com/annonce-12439-location-et-vente-de-voiture.html","Location et vente de voiture","1  FCFA","Point E","media/annonces/pics/b40fa52e9a95b4b426399b8e9f4bd278.jpg"
"1716727346-49","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture","https://www.dakarvente.com/annonce-12500-location-de-voiture.html","Location de voiture","35.000  FCFA","Nord Foire","media/annonces/pics/c38aa787916e6cf5023248a00faac531.jpeg"
"1716727373-50","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location Mercedes ML350 CDI 4Matic","https://www.dakarvente.com/annonce-12777-location-mercedes-ml350-cdi-4matic.html","Location Mercedes ML350 CDI 4Matic","45.000  FCFA","Almadies","media/annonces/pics/5ce0c6d899e87faf24ff7fe4ac0b329f.jpg"
"1716727400-51","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location/vente de voiture","https://www.dakarvente.com/annonce-12892-location-vente-de-voiture.html","Location/vente de voiture","1  FCFA","Point E","media/annonces/pics/afc2f5f630d7aa7adb7824ace4603726.jpg"
"1716727428-52","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location/vente de voiture","https://www.dakarvente.com/annonce-12989-location-vente-de-voiture.html","Location/vente de voiture","1  FCFA","Point E","media/annonces/pics/816710e747108aa81c42cffc1b8161ef.jpg"
"1716727455-53","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location Ford Fusion SE Toutes options","https://www.dakarvente.com/annonce-13090-location-ford-fusion-se-toutes-options.html","Location Ford Fusion SE Toutes options","22.500  FCFA","Almadies","media/annonces/pics/46c2dc45a0a2fadcdecc3b5a2a133690.jpg"
"1716727481-54","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location et vente de voiture","https://www.dakarvente.com/annonce-13160-location-et-vente-de-voiture.html","Location et vente de voiture","1  FCFA","Point E","media/annonces/pics/7dac82bf86429a41dce3e23e4d16b317.jpg"
"1716727508-55","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voitures","https://www.dakarvente.com/annonce-13249-location-de-voitures.html","Location de voitures","22.500  FCFA","Liberté 6","media/annonces/pics/a4ef696261bc27f1f04da93a4ce58a04.jpeg"
"1716727535-56","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location et vente de voiture","https://www.dakarvente.com/annonce-13250-location-et-vente-de-voiture.html","Location et vente de voiture","1  FCFA","Point E","media/annonces/pics/9adccb424c8f69811c4487dd6631a09c.jpg"
"1716727562-57","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location et vente de voiture","https://www.dakarvente.com/annonce-13776-location-et-vente-de-voiture.html","Location et vente de voiture","1  FCFA","Point E","media/annonces/pics/6721dc3594bb10bfba8474d4c58a04af.jpg"
"1716727589-58","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location et Vente de voitures","https://www.dakarvente.com/annonce-13825-location-et-vente-de-voitures.html","Location et Vente de voitures","1  FCFA","Point E","media/annonces/pics/c3f2fd7d2368fc120ffa8419c671338d.jpg"
"1716727617-59","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location peugeot 508 avec chauffeur","https://www.dakarvente.com/annonce-13846-location-peugeot-508-avec-chauffeur.html","Location peugeot 508 avec chauffeur","25  FCFA","Keur Massar","media/annonces/pics/b121b3382f2fe451c70433af9b5bf4e6.jpg"
"1716727644-60","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture avec ou sans chauffeur","https://www.dakarvente.com/annonce-14292-location-de-voiture-avec-ou-sans-chauffeur.html","Location de voiture avec ou sans chauffeur","20.000  FCFA","Thiès","media/annonces/pics/92dccb1e6b24e28c7905f5d0f5a95ed0.jpg"
"1716727671-61","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location voiture Ford Escape 2011","https://www.dakarvente.com/annonce-14556-location-voiture-ford-escape-2011.html","Location voiture Ford Escape 2011","40.000  FCFA","Ouakam","media/annonces/pics/ef0ec254b16b01753ea4422825cf52db.jpeg"
"1716727699-62","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","AUTO-ECOLE","https://www.dakarvente.com/annonce-14729-auto-ecole.html","AUTO-ECOLE","1  FCFA","Point E","media/annonces/pics/b86b2ab5a68c0c8f384ffec283ec4c14.jpeg"
"1716727727-63","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Auto-école","https://www.dakarvente.com/annonce-14783-auto-cole.html","Auto-école","1  FCFA","Point E","media/annonces/pics/7ee6366d1c989cfabb720c081ddc4458.jpeg"
"1716727754-64","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Auto-école","https://www.dakarvente.com/annonce-14835-auto-cole.html","Auto-école","1  FCFA","Point E","media/annonces/pics/fe0d66dcbf20e539b5e92cf90f18acf4.jpeg"
"1716727781-65","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Hyundai Santa Fe 2015 7 Places","https://www.dakarvente.com/annonce-15092-hyundai-santa-fe-2015-7-places.html","Hyundai Santa Fe 2015 7 Places","50.000  FCFA","Plateau","media/annonces/pics/e22fefe188b69571b09e746a44f2cfb8.jpeg"
"1716727808-66","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Kia Sorento à louer","https://www.dakarvente.com/annonce-16693-kia-sorento-louer.html","Kia Sorento à louer","35.000  FCFA","Sicap liberté","media/annonces/pics/5fe2c39df0696bf785bca141064e934e.jpeg"
"1716727835-67","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de véhicule","https://www.dakarvente.com/annonce-16867-location-de-vhicule.html","Location de véhicule","40.000  FCFA","Dakar","media/annonces/pics/bca0d8e1a27852ee316fa7ec2e0a419b.jpg"
"1716727862-68","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture","https://www.dakarvente.com/annonce-18318-location-de-voiture.html","Location de voiture","15.000  FCFA","Saly","media/annonces/pics/59d2477813b328cea3dbb7180a43673b.jpg"
"1716727891-69","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de véhicule","https://www.dakarvente.com/annonce-19134-location-de-vhicule.html","Location de véhicule","15.000  FCFA","Ouakam","img/nophoto.png"
"1716727918-70","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location Peugeot Partenaire","https://www.dakarvente.com/annonce-19144-location-peugeot-partenaire.html","Location Peugeot Partenaire","25.000  FCFA","Almadies","media/annonces/pics/dc77f6009bad26e44286410abce2d895.jpg"
"1716727946-71","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location Pick up Mitsubishi","https://www.dakarvente.com/annonce-19234-location-pick-up-mitsubishi.html","Location Pick up Mitsubishi","40.000  FCFA","Bene Tally","media/annonces/pics/177bf79baf4909e27f445af1a4865a2c.jpg"
